Company Name,Industry,Symbol,Series,ISIN Code,Index
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025,Nifty 200
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017,Nifty 200
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020,Nifty 200
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014,Nifty 200
Adani Enterprises Ltd.,METALS,ADANIENT,EQ,INE423A01024,Nifty 200
Adani Green Energy Ltd.,POWER,ADANIGREEN,BE,INE364U01010,Nifty 200
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,Nifty 200
Adani Total Gas Ltd.,OIL & GAS,ATGL,BE,INE399L01023,Nifty 200
Adani Transmission Ltd.,POWER,ADANITRANS,BE,INE931S01010,Nifty 200
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013,Nifty 200
Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL,EQ,INE647O01011,Nifty 200
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049,Nifty 200
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018,Nifty 200
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014,Nifty 200
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032,Nifty 200
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024,Nifty 200
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024,Nifty 200
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022,Nifty 200
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029,Nifty 200
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,Nifty 200
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037,Nifty 200
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,EQ,INE192R01011,Nifty 200
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,Nifty 200
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,Nifty 200
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,Nifty 200
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,Nifty 200
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012,Nifty 200
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026,Nifty 200
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014,Nifty 200
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039,Nifty 200
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016,Nifty 200
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028,Nifty 200
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038,Nifty 200
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024,Nifty 200
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025,Nifty 200
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026,Nifty 200
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011,Nifty 200
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,Nifty 200
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013,Nifty 200
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025,Nifty 200
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026,Nifty 200
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,Nifty 200
CESC Ltd.,POWER,CESC,EQ,INE486A01013,Nifty 200
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027,Nifty 200
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014,Nifty 200
Castrol India Ltd.,OIL & GAS,CASTROLIND,EQ,INE172A01027,Nifty 200
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024,Nifty 200
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,Nifty 200
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021,Nifty 200
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,Nifty 200
Coforge Ltd.,IT,COFORGE,EQ,INE591G01017,Nifty 200
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022,Nifty 200
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025,Nifty 200
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031,Nifty 200
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018,Nifty 200
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020,Nifty 200
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023,Nifty 200
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026,Nifty 200
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,EQ,INE00R701025,Nifty 200
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,EQ,INE288B01029,Nifty 200
Dhani Services Ltd.,FINANCIAL SERVICES,DHANI,EQ,INE274G01010,Nifty 200
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024,Nifty 200
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01020,Nifty 200
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,EQ,INE600L01024,Nifty 200
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,Nifty 200
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021,Nifty 200
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032,Nifty 200
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,EQ,INE913H01037,Nifty 200
